link,title,category,latitude,longitude,address
https://www.google.com/maps/place/Jeanes+Campus+%E2%80%93+Temple+University+Hospital/data=!4m7!3m6!1s0x89c6b13520553101:0x79a66ef7e13df3a5!8m2!3d40.0706545!4d-75.0880003!16s%2Fg%2F1thvtndv!19sChIJATFVIDWxxokRpfM94fdupnk?authuser=0&hl=en&rclk=1,Jeanes Campus – Temple University Hospital,Hospital,40.070654,-75.088,"Jeanes Campus – Temple Univ Hospital, 7600 Central Ave, Philadelphia, PA 19111, United States"
https://www.google.com/maps/place/MedStar+Georgetown+University+Hospital/data=!4m7!3m6!1s0x89b7b63f6c578775:0x2e8c55e6e977ad40!8m2!3d38.911464!4d-77.0751693!16s%2Fm%2F02vs27y!19sChIJdYdXbD-2t4kRQK136eZVjC4?authuser=0&hl=en&rclk=1,MedStar Georgetown University Hospital,University hospital,38.911464,-77.075169,"MedStar Georgetown Univ Hospital, 3800 Reservoir Rd NW, Washington, DC 20007, United States"
https://www.google.com/maps/place/Trinitas+Regional+Medical+Center/data=!4m7!3m6!1s0x89c24d4d84abf3a1:0x1c033e51185c115!8m2!3d40.6589706!4d-74.214982!16s%2Fg%2F1thqhnws!19sChIJofOrhE1NwokRFcGFEeUzwAE?authuser=0&hl=en&rclk=1,Trinitas Regional Medical Center,Medical Center,40.658971,-74.214982,"225 Williamson St, Elizabeth, NJ 07202, United States"
https://www.google.com/maps/place/Northwestern+Memorial+Hospital/data=!4m7!3m6!1s0x880e2cab2c53ba6b:0xa0a3e3c8f728ec37!8m2!3d41.8947049!4d-87.6214858!16zL20vMGc4dl9i!19sChIJa7pTLKssDogRN-wo98jjo6A?authuser=0&hl=en&rclk=1,Northwestern Memorial Hospital,Hospital,41.894705,-87.621486,"Northwestern Mem Hospital, 251 E Huron St, Chicago, IL 60611, United States"
https://www.google.com/maps/place/Robert+Wood+Johnson+University+Hospital+Rahway/data=!4m7!3m6!1s0x89c3b3ecfdd75705:0x163548050742e226!8m2!3d40.6131308!4d-74.2909032!16s%2Fg%2F1tcwmhkn!19sChIJBVfX_eyzw4kRJuJCBwVINRY?authuser=0&hl=en&rclk=1,Robert Wood Johnson University Hospital Rahway,University hospital,40.613131,-74.290903,"Robert Wood Johnson Univ Hospital Rahway, 865 Stone St, Rahway, NJ 07065, United States"
https://www.google.com/maps/place/Hanoi+Hospital/data=!4m7!3m6!1s0x3135abf278c3f183:0x46cfd3983e522b6c!8m2!3d21.0182646!4d105.855612!16s%2Fg%2F1hc1l_n5m!19sChIJg_HDePKrNTERbCtSPpjTz0Y?authuser=0&hl=en&rclk=1,Hanoi Hospital,General hospital,21.018265,105.855612,"29 P.Hàn Thuyên, Phạm Đình Hổ, Hai Bà Trưng, Hà Nội"
https://www.google.com/maps/place/MEDLATEC+Hospital/data=!4m7!3m6!1s0x3135abb3fd62fe1d:0x8258254f7bb0a921!8m2!3d21.0485694!4d105.8460875!16s%2Fg%2F1hg4r4c6f!19sChIJHf5i_bOrNTERIamwe08lWII?authuser=0&hl=en&rclk=1,MEDLATEC Hospital,General hospital,21.048569,105.846087,"42 P. Nghĩa Dũng, Phúc xá, Ba Đình, Hà Nội 100000"
https://www.google.com/maps/place/Son+Uyen+Hospital/data=!4m7!3m6!1s0x313510a18087c259:0xf657073d69c97fc1!8m2!3d21.3531623!4d105.978291!16s%2Fg%2F11b7sx1kt6!19sChIJWcKHgKEQNTERwX_JaT0HV_Y?authuser=0&hl=en&rclk=1,Son Uyen Hospital,Hospital,21.353162,105.978291,"34-36 Lý Thường Kiệt, TT. Thắng, Hiệp Hòa, Bắc Giang"
https://www.google.com/maps/place/Trung+T%C3%A2m+Gia+Li%E1%BB%85u+%C4%90o%C3%A0n+L%E1%BA%A1i/data=!4m7!3m6!1s0x3134e552205db9a7:0xbe5466bc7d2736b2!8m2!3d21.3147839!4d105.6044465!16s%2Fg%2F1pzxnyq2m!19sChIJp7ldIFLlNDERsjYnfbxmVL4?authuser=0&hl=en&rclk=1,Trung Tâm Gia Liễu Đoàn Lại,General hospital,21.314784,105.604446,"16 Trần Nguyên Hãn, Liên Bảo, Vĩnh Yên, Vĩnh Phúc"
https://www.google.com/maps/place/Tr%E1%BA%A1m+Y+T%E1%BA%BF+X%C3%A3+Th%C3%A1i+Ho%C3%A0/data=!4m7!3m6!1s0x3135bd7e51feaf19:0xd87c4b4866b0a723!8m2!3d20.8425292!4d106.1558676!16s%2Fg%2F1pzxqtf5j!19sChIJGa_-UX69NTERI6ewZkhLfNg?authuser=0&hl=en&rclk=1,Trạm Y Tế Xã Thái Hoà,General hospital,20.842529,106.155868,"R5V4+289 Trạm Y Tế Xã Thái Hoà, Thái Hoà, Bình Giang, Hải Dương"
